Location,Latitude,Longitude
"Brooklyn, NY, US",40.6526006,-73.9497211
"Palm Springs, CA, US",33.8246269,-116.540303
"Mount Pleasant, SC, US",32.7940651,-79.8625851
"Little Rock, AR, US",34.7465071,-92.2896267
"Novato, CA, US",38.1061979,-122.5681191
"Baton Rouge, LA, US",30.4494155,-91.1869659
"Calabasas, CA, US",34.1446643,-118.644097
"Avon, CO, US",39.6342752,-106.522243
"Itasca, IL, US",41.9751722,-88.0067509
"Peoria, IL, US",40.6938609,-89.5891008
"McLean, VA, US",38.93668525,-77.1858430261388
"Sausalito, CA, US",37.8590272,-122.485469
"Conshohocken, PA, US",40.0792766,-75.3015714
"Yakima, WA, US",46.601557,-120.510842
"Hawaii, US",19.593801499999998,-155.42837009716908
"Indiana, US",40.3270127,-86.1746933
"Rockville, MD, US",39.0817985,-77.1516844
"Bethesda, MD, US",38.9846816,-77.0942447
"Arlington, VA, US",38.8903961,-77.0841585
"West Orange, NJ, US",40.7987113,-74.2390353
"Saint Paul, MN, US",44.9497487,-93.0931028
"Sarasota, FL, US",27.3365805,-82.5308545
"Norton, MA, US",41.9667666,-71.1869939
"Pasadena, CA, US",34.1476507,-118.144155
"Camden, ME, US",44.210265,-69.065552
"Modesto, CA, US",37.6393419,-120.9968892
"Mountainside, NJ, US",40.6723242,-74.3573722
"Grand Rapids, MI, US",42.9632425,-85.6678639
"Long Branch, NJ, US",40.3042778,-73.9923596
"Lenexa, KS, US",38.9697458,-94.7845837
"Iowa City, IA, US",41.6612561,-91.5299106
"Milwaukee, WI, US",43.0386475,-87.9090751
"Easthampton, MA, US",42.2708804,-72.6719579
"Knoxville, TN, US",35.9603948,-83.9210261
"Billings, MT, US",45.7874957,-108.49607
"Cedar Rapids, IA, US",41.9758872,-91.6704053
"Annapolis, MD, US",38.9786401,-76.492786
"Oklahoma City, OK, US",35.4729886,-97.5170536
"Long Beach, CA, US",33.7690164,-118.191604
"Alaska, US",64.4459613,-149.680909
"Ambler, PA, US",40.1528172,-75.224465
"Tulsa, OK, US",36.1563122,-95.9927516
"Tysons Corner, VA, US",38.918592,-77.2314723
"Springfield, MO, US",37.2081729,-93.2922715
"Oldsmar, FL, US",28.0341847,-82.6650992
"Massachusetts, US",42.3788774,-72.032366
"Ewing, NJ, US",40.2688105,-74.8006895
"Springfield, IL, US",39.7990175,-89.6439575
"Great Barrington, MA, US",42.1939364,-73.362773
"Hartford, CT, US",41.764582,-72.6908547
"Wichita, KS, US",37.6922361,-97.3375448
"Breckenridge, CO, US",39.4829124,-106.0465486
"Lehi, UT, US",40.3881114,-111.8486019
"Hingham, MA, US",42.2417669,-70.8897676
"Fort Wayne, IN, US",41.0799898,-85.1386015
"Long Island City, NY, US",40.7455316,-73.9484995
"Boise, ID, US",43.6166163,-116.200886
"Rochester, NY, US",43.157285,-77.615214
"Jacksonville Beach, FL, US",30.2946859,-81.3931396
"Emeryville, CA, US",37.8314089,-122.2865266
"Berrien Springs, MI, US",41.9464336,-86.3388965
"Fort Worth, TX, US",32.753177,-97.3327459
"Blue Bell, PA, US",40.152331,-75.266289
"Fort Lauderdale, FL, US",26.1223084,-80.1433786
"Des Plaines, IL, US",42.0415823,-87.8873916
"New York, US",40.7127281,-74.0060152
"Texas, US",31.2638905,-98.5456116
"Albuquerque, NM, US",35.0841034,-106.650985
"Tucson, AZ, US",32.2228765,-110.974847
"Madison, WI, US",43.074761,-89.3837613
"Syracuse, NY, US",43.0481221,-76.1474244
"Glastonbury, CT, US",41.7148499,-72.6077753
"Oklahoma, US",34.9550817,-97.2684063
"Bountiful, UT, US",40.8894611,-111.8804817
"Mountain View, CA, US",37.3893889,-122.0832101
"Sacramento, CA, US",38.5810606,-121.493895
"Vermont, US",44.000000, -72.699997
"Bozeman, MT, US",45.6794293,-111.044047
"Savannah, GA, US",32.0790074,-81.0921335
"Duluth, MN, US",46.7729322,-92.1251218
"San Jose, CA, US",37.3361663,-121.890591
"Bryan, TX, US",30.6743643,-96.3699632
"Westlake Village, CA, US",34.1460234,-118.8061794
"Monrovia, CA, US",34.1483499,-118.0014517
"Redmond, WA, US",47.6694141,-122.1238767
"Colorado, US",38.7251776,-105.607716
"Providence, RI, US",41.8239891,-71.4128343
"Louisville, KY, US",38.2542376,-85.759407
"Jacksonville, FL, US",30.3321838,-81.655651
"Valdosta, GA, US",30.8327022,-83.2784851
"South Bend, IN, US",41.6833813,-86.2500066
"Huntsville, AL, US",34.729847,-86.5859011
"San Luis Obispo, CA, US",35.3540209,-120.375716
"Royal Oak, MI, US",42.4894801,-83.1446485
"Essex, MA, US",42.6320389,-70.7828255
"Santa Clarita, CA, US",34.4127963,-118.5538088
"Auburn, AL, US",32.6098566,-85.4807825
"Michigan, US",43.6211955,-84.6824346
"Redlands, CA, US",34.0550328,-117.1827445
"Concord, NH, US",43.207178,-71.537476
"Kennesaw, GA, US",34.0234337,-84.6154897
"Brooklyn Manor, NY, US",40.6948252,-73.8476351
"Camden, NJ, US",39.9448402,-75.1198911
"Berkeley, CA, US",37.8708393,-122.272863
"Santa Rosa, CA, US",38.4404925,-122.7141049
"Spokane, WA, US",47.6571934,-117.42351
"Ithaca, NY, US",42.4396039,-76.4968019
"King of Prussia, PA, US",40.0908111,-75.3832484
"College Station, TX, US",30.6183939,-96.3455991
"Doylestown, PA, US",40.3100446,-75.1304588
"Manhattan, KS, US",39.1836082,-96.5716694
"Kalamazoo, MI, US",42.291707,-85.5872286
"Springfield, MA, US",42.1018764,-72.5886727
"Santa Clara, CA, US",37.2333253,-121.6846349
"Fayetteville, AR, US",36.0625843,-94.1574328
"Somerville, MA, US",42.3875968,-71.0994968
"Collingswood, NJ, US",39.9181686,-75.071284
"Bel Air, MD, US",39.5355063,-76.3490396
"Toledo, OH, US",41.6529143,-83.5378173
"Arlington, TX, US",32.7355816,-97.1071186
"Montana, US",47.3752671,-109.638757
"Jersey City, NJ, US",40.7215682,-74.047455
"Concord, CA, US",37.9768525,-122.0335624
"East Brunswick, NJ, US",40.4278841,-74.415984
"Virginia Beach, VA, US",36.8496579,-75.9760751
"Santa Ana, CA, US",33.7494951,-117.873221
"Carmel, IN, US",39.9784186,-86.1283681
"Orange, CA, US",33.750631,-117.8722311
"Maine, ME, US",46.8200431,-67.9230792
"Aspen, CO, US",39.1911128,-106.82356
"Bakersfield, CA, US",35.3738712,-119.019463
"Lexington, KY, US",38.0464066,-84.4970393
"Maryland, US",39.5162401,-76.9382069
"Connecticut, US",41.6500201,-72.7342163
"Alexandria, VA, US",38.8051095,-77.0470229
"Southfield, MI, US",42.4733689,-83.2218731
"Lawrence, KS, US",38.9719137,-95.2359403
"Kansas, US",38.27312,-98.5821872
"Scranton, PA, US",41.4086874,-75.6621294
"Barrigada, GU, US",13.5049972,144.8301568
"Amarillo, TX, US",35.20729,-101.8371192
"Plymouth, MA, US",41.9426657,-70.7618592
"Norwalk, CT, US",41.1175966,-73.4078968
"Normal, IL, US",40.5092961,-88.9843937
"Mineola, NY, US",40.7492678,-73.6406845
"Utah Labor Center Condominium, UT, US",40.72164615,-111.9382362493788
"Montclair, NJ, US",40.8164458,-74.2210643
"New York Mills, NY, US",43.105495,-75.291367
"Roanoke, VA, US",37.270973,-79.9414313
"Riverside, CA, US",33.9824949,-117.374238
"Santa Cruz, CA, US",37.050096,-121.99059
"Chincoteague, VA, US",37.9331799,-75.3788141
"Palo Alto, CA, US",37.4443293,-122.1598465
"Rancho Cucamonga, CA, US",34.1033192,-117.575173
"Parsippany, NJ, US",40.8578772,-74.4259866
"Pensacola, FL, US",30.421309,-87.2169149
"Vancouver Junction, WA, US",45.6278617,-122.68784159170016
"Alabama, US",33.2588817,-86.8295337
"Sunnyvale, CA, US",37.3688301,-122.036349
"Culver City, CA, US",34.0211224,-118.396466
"Monterey, CA, US",36.2231079,-121.387742
"Newport Beach, CA, US",33.6170092,-117.9294401
"West Chester, PA, US",39.9597213,-75.6059638
"Myrtle Beach, SC, US",33.6956461,-78.8900409
"Coral Gables, FL, US",25.7331105,-80.2585107
"Ridgefield, CT, US",41.2814842,-73.4981792
"Destin, FL, US",30.3935337,-86.4957834
"Phoenix, NY, US",43.2309198,-76.3001887
"Lakeland, FL, US",28.0394654,-81.9498042
"Melville, NY, US",40.7934322,-73.4151214
"Port Washington, NY, US",40.8257072,-73.6958069
"Kent, OH, US",41.1513108,-81.3578047
"Ayer, MA, US",42.5595807,-71.5882561
"Puerto Rico, US",18.2247706,-66.4858295
"West New York, NJ, US",40.7856117,-74.0093129
"Danvers, MA, US",42.566751,-70.9368313
"Fond du Lac, WI, US",43.7533414,-88.4493796
"Metairie, LA, US",29.9899926,-90.1505426
"Stockbridge, MA, US",42.282398,-73.3123684
"El Paso, TX, US",31.7601164,-106.4870404
"Hudson, MA, US",42.3913503,-71.5676895
"York, PA, US",39.962493,-76.7276989
"Santa Rosa South, CA, US",38.444660,-122.720306
"Jefferson City, MO, US",38.577359,-92.1724265
"Kalispell, MT, US",48.202158,-114.315321
"Spartanburg, SC, US",34.937029,-81.9955954
"Kansas City, KS, US",39.1134562,-94.626497
"Pompano Beach, FL, US",26.2378597,-80.1247667
"Lombard, IL, US",41.8864687,-88.0201536
"Grand Forks, ND, US",47.9252042,-97.0306741
"Lexington, MA, US",42.447357, -71.234619
"Troy, NY, US",42.7284117,-73.6917878
"Poughkeepsie, NY, US",41.7065539,-73.9283672
"Lincoln, NE, US",40.8088861,-96.7077751
"Melbourne, FL, US",28.0785034,-80.6077908
"Saginaw, MI, US",43.3326882,-84.0468403
"Cape Coral, FL, US",26.5625742,-81.9438802
"Wyoming, US",43.1700264,-107.568534
"Palatine, IL, US",42.1105779,-88.0336888
"Lancaster, CA, US",34.6981064,-118.1366153
"Muncie, IN, US",40.1936892,-85.3865271
"San Antonio, CA, US",37.4074107,-122.1072412
"Fresno, CA, US",36.7394421,-119.78483
"Allston, MA, US",42.3555375,-71.1327494
"Germantown, MD, US",39.17130815,-77.26557848822242
"Gig Harbor, WA, US",47.3259697,-122.5878659
"Greenfield, MA, US",42.5876342,-72.6002068
"Auburn, NY, US",42.9320202,-76.5672029
"West Columbia, SC, US",33.9934867,-81.0739826
"Morristown, NJ, US",40.7992398,-74.4774358537687
"Atlantic City, NJ, US",39.3642852,-74.4229351
"Utah, US",39.4225192,-111.714358
"Northbrook, IL, US",42.128704,-87.8265089
"Chico, CA, US",39.7284945,-121.8374777
"Long Beach, NY, US",40.5885508,-73.6582631
"Huntington, NY, US",40.868154,-73.425676
"Augusta, GA, US",33.4709714,-81.9748429
"Irving, TX, US",32.8295183,-96.9442177
"Capistrano Beach, CA, US",33.4587166,-117.66857
"Jackson Heights, NY, US",40.7556561,-73.8857755
"Valparaiso, IN, US",41.4672552,-87.0604487
"Brighton, MI, US",42.5316918,-83.7846458
"Stamford, CT, US",41.0534302,-73.5387341
"Binghamton, NY, US",42.098698,-75.9125187
"Louisiana, US",30.8703881,-92.007126
"Patchogue, NY, US",40.7656539,-73.0151084
"Paramus, NJ, US",40.9452911,-74.0735899
"Fairfield, CT, US",41.1412078,-73.2637258
"Midvale, UT, US",40.6149174,-111.9106607
"Montpelier, VT, US",44.2602244,-72.5750364
"Silver Spring, MD, US",38.9959461,-77.0276231
"West Bridgewater, MA, US",42.0191056,-71.0076743
"San Rafael, CA, US",37.9747795,-122.5316686
"Irvington, NY, US",41.0398662,-73.872717
"Stafford, TX, US",29.6160671,-95.5577221
"North Carolina, US",35.6729639,-79.0392919
"Pullman, WA, US",46.7304268,-117.173895
"Williamsburg, VA, US",37.2708788,-76.7074042
"Coeur d'Alene, ID, US",47.6742994,-116.7811531
"San Juan, PR, US",18.465299,-66.116666
"Wailuku, HI, US",20.8905443,-156.503093
"Asheville, NC, US",35.595363,-82.5508407
"South Plainfield, NJ, US",40.5792701,-74.4115401
"State College, PA, US",40.7944504,-77.8616386
"Alameda, CA, US",37.6090291,-121.899142
"Tallahassee, FL, US",30.4380832,-84.2809332
"Cold Spring Harbor, NY, US",40.8714873,-73.456788
"Boone, NC, US",36.2187873,-81.684004
"Laguna Beach, CA, US",33.5426975,-117.785366
"Reno, NV, US",39.5261206,-119.8126581
"New Rochelle, NY, US",40.9115386,-73.7826363
"Wayne, NJ, US",40.9491723,-74.2376802
"Cranbury, NJ, US",40.3133907,-74.5201927
"Englewood Cliffs, NJ, US",40.8853773,-73.9523597
"Sebastopol, CA, US",38.4021038,-122.824222
"Lubbock, TX, US",33.5855677,-101.8470215
"Lake Charles, LA, US",30.2305095,-93.2169807
"East Hampton, NY, US",40.9633868,-72.1847598
"Somerville, NJ, US",40.5742696,-74.60988
"Anaheim, CA, US",33.8347516,-117.911732
"Elmsford, NY, US",41.0550969,-73.8201338
"Chantilly, VA, US",38.8941543,-77.4311513
"Tacoma, WA, US",47.2455013,-122.438329
"Leavenworth, WA, US",47.5969138,-120.661081
"Hollywood, FL, US",26.0112014,-80.1494901
"Bellingham, WA, US",48.7544012,-122.478836
"Towson, MD, US",39.396459050000004,-76.61481481790992
"Riverton, NJ, US",40.0084453,-74.9968368
"Nassau, NY, US",40.7352994,-73.5615778
"Yonkers, NY, US",40.9312099,-73.8987469
"Falls Church, VA, US",38.882334,-77.1710914
"Champaign, IL, US",40.1164841,-88.2430932
"Jackson, MS, US",32.2998686,-90.1830408
"Southport, CT, US",41.1364856,-73.2834486
"Arkansas, US",35.2048883,-92.4479108
"Brookline, MA, US",42.3329021,-71.1187421
"Fort Smith, AR, US",35.3880338,-94.4265011
"Torrance, CA, US",33.8371392,-118.3413606
"Half Moon Bay, CA, US",37.4635519,-122.428586
"Nevada City, CA, US",39.2625993,-121.0187304
"Farmingville, NY, US",40.8312096,-73.029552
"Hastings-on-Hudson, NY, US",40.9946622,-73.8785922
"Chapel Hill, NC, US",35.9131542,-79.05578
"Durham, NC, US",35.996653,-78.9018053
"Darien, IL, US",41.7508713,-87.9739593
"Northfield, IL, US",42.09975,-87.7808967
"Mamaroneck, NY, US",40.9487314,-73.7331416
"New Hampshire, US",43.4849133,-71.6553992
"Santa Fe, NM, US",35.6876096,-105.938456
"Cherry Hill Estates, NJ, US",39.9334462,-75.019059
"Mount Clemens, MI, US",42.5972563,-82.8779754
"Manchester, NH, US",42.9956397,-71.4547891
"Mansfield, MA, US",42.0334326,-71.2189405
"Grandview, OH, US",39.1905125,-84.73340204752431
"Walnut Creek, CA, US",37.9020731,-122.0618702
"Louisville, KS, US",39.250274,-96.31472
"Sparks, NV, US",39.5404679,-119.7487235
"Westchester, NY, US",41.1763139,-73.7907554
"Angels Camp, CA, US",38.0695732,-120.540503
"San Antonio Viejo, TX, US",26.955602,-98.8328051
"Fremont, CA, US",37.5482697,-121.988571
"Cape Girardeau, MO, US",37.3034933,-89.5230357
"Saratoga Springs, NY, US",43.0821793,-73.7853915
"Hauppauge, NY, US",40.8256537,-73.2026138
"Allentown, PA, US",40.6022059,-75.4712794
"Blacksburg, VA, US",37.2296566,-80.4136767
"Oak Ridge, TN, US",36.0103562,-84.2696449
"Rolla, MO, US",37.9509324,-91.7708076
"Charleston Heights, SC, US",32.8571196,-79.9706434
"Norcross, GA, US",33.9412127,-84.2135309
"Woodbridge, NJ, US",40.5536918,-74.2823573
"Short Hills, NJ, US",40.7478786,-74.3254271
"Aurora, IL, US",41.7571701,-88.3147539
"Topeka, KS, US",39.049011,-95.677556
"Duluth, GA, US",34.0028569,-84.1441046
"Horsham, PA, US",40.1842455,-75.13905239078957
"Smithtown, NY, US",40.8559314,-73.2006687
"Bristol, RI, US",41.6770463,-71.2661597
"Rhode Island, US",41.7962409,-71.5992372
"Biloxi, MS, US",30.4007626,-88.8893818
"Oregon, US",43.9792797,-120.737257
"Naperville, IL, US",41.7728699,-88.1479278
"Fairfax, VA, US",38.8156356,-77.2836849
"Clifton, NJ, US",40.8584328,-74.1637553
"Fort Collins, CO, US",40.5871782,-105.0770113
"Bennington, VT, US",42.8788667,-73.1968205
"Amherst, NH, US",42.8642874,-71.6252484
"Laguna Niguel, CA, US",33.5225261,-117.7075526
"Malibu, CA, US",34.035591,-118.689423
"Naples, FL, US",26.1421976,-81.7942944
"Cupertino, CA, US",37.3228934,-122.0322895
"Watertown, SD, US",44.899211,-97.115289
"Medford, OR, US",42.3264181,-122.8718605
"Alpharetta, GA, US",34.0709576,-84.2747329
"Rockingham, NH, US",42.9966675,-71.1003143
"Saint Cloud, MN, US",45.5616075,-94.1642004
"Harrisonburg, VA, US",38.4493315,-78.8688833
"Salem, OR, US",44.9391565,-123.033121
"Hollywood, CA, US",34.0980031,-118.329523
"Shreveport, LA, US",32.5135356,-93.7477839
"Iowa, US",41.9216734,-93.3122705
"Greeley, CO, US",40.4233142,-104.7091322
"Sydney, ND, US",46.731338,-98.7682161
"Georgia, US",33.247875, -83.441162
"Locust Valley, NY, US",40.8757712,-73.5971927
"Boynton Beach, FL, US",26.5256179,-80.0666026
"Beaufort, SC, US",32.3850708,-80.6923169
"Broomall, PA, US",39.968950500000005,-75.35283725621642
"Boothbay, ME, US",43.8761971,-69.6343354
"Brea, CA, US",33.9170444,-117.888855
"Queens Village, NY, US",40.7267692,-73.7415208
"Lindenhurst, NY, US",40.6867667,-73.3734547
"Trenton, NJ, US",40.2203074,-74.7659
"Barrington, IL, US",42.1539141,-88.1361888
"Foxboro, MA, US",42.0953545,-71.2616265
"South Pasadena, CA, US",34.1133062,-118.1478291
"Corpus Christi, TX, US",27.7635302,-97.4033191
"Bellevue, WA, US",47.6144219,-122.192337
"Oakbrook Terrace, IL, US",41.8500302,-87.9645077
"Delray Beach, FL, US",26.4614625,-80.0728201
"Tarrytown, NY, US",41.0762077,-73.8587461
"Sparlingville, MI, US",42.9644739,-82.522974
"Sparta, NY, US",41.1448178,-73.863469
"Fairhope, AL, US",30.5231647,-87.9028458
"Warsaw, IL, US",40.359211,-91.4345978
"Johnstown, PA, US",40.3267407,-78.9219698
"Wood-Ridge, NJ, US",40.8456555,-74.0879195
"Pleasanton, CA, US",37.6624312,-121.8746789
"Downers Grove, IL, US",41.7936822,-88.0102281
"Worcester, MA, US",42.2625621,-71.8018877
"Covina, CA, US",34.0877926,-117.8891164
"Brielle, NJ, US",40.1078931,-74.0565263
"San Clemente, CA, US",33.4270275,-117.6124179
"Greenwood Village, CO, US",39.6172101,-104.950814
"Tahlequah, OK, US",35.91537,-94.969956
"Crystal Lake, IL, US",42.2411344,-88.3161965
"Troy, MI, US",42.6055893,-83.1499304
"Raleigh, WV, US",37.7493481,-81.2250929
"Thibodaux, LA, US",29.7957633,-90.822871
"Frederick, MD, US",39.415779,-77.4127562
"Everett, WA, US",47.9793437,-122.2127011
"Carlsbad, CA, US",33.1580933,-117.3505966
"Bend, OR, US",44.0581728,-121.3153096
"Lynchburg, VA, US",37.4137536,-79.1422464
"Corona, CA, US",33.8752945,-117.566444
"Cotati, CA, US",38.3266798,-122.706844
"Menlo Park, CA, US",37.4519671,-122.177992
"West Los Angeles, CA, US",34.0468546,-118.430254
"Lansing, MI, US",42.7338254,-84.5546295
"Park City, UT, US",40.6460921,-111.4979963
"Marblehead, MA, US",42.500096,-70.8578253
"Heber City, UT, US",40.506463,-111.4132963
"Augusta, ME, US",44.3169922,-69.7734278
"Snowmass Village, CO, US",39.2130418,-106.9378207
"Paris, NY, US",43.0006253,-75.3137775
"Jamaica, NY, US",40.7029134,-73.8006429
"Venice, CA, US",33.995044,-118.4668875
"Westmont, IL, US",41.7950525,-87.9751964
United States,39.7837304,-100.445882
"Ohio, US",40.2253569,-82.6881395
"Rahway, NJ, US",40.6081591,-74.2776468
"Woburn, MA, US",42.4792618,-71.1522766
"Marysville, WA, US",48.0517429,-122.1768209
"Montgomery, AL, US",32.3669656,-86.3006485
"Pennsylvania, US",41.203323, -77.194527
"Menomonee Falls, WI, US",43.1790768,-88.1170784
"Hermosa Beach, CA, US",33.8637822,-118.3992143
"Bloomfield Hills, MI, US",42.583645,-83.2454883
"Commack, NY, US",40.8428759,-73.2928943
"Burlingame, CA, US",37.5780965,-122.3473099
"Bonita Springs, FL, US",26.339806,-81.7786972
"Haddonfield, NJ, US",39.8915022,-75.0376707
"Ogden, UT, US",41.2230048,-111.9738429
"Portland Heights, OR, US",45.51017,-122.6981309
"Silver Spring Park, MD, US",38.992212949999995,-77.01623348268345
"Kennett Square, PA, US",39.8467414,-75.7116997
"Burlington, MA, US",42.5048167,-71.1956111
"New Bedford, MA, US",41.6362152,-70.934205
"Shanghai, WV, US",39.4414872,-78.1322246
"Orland Park, IL, US",41.630663,-87.8536288
"Monterey Park, CA, US",34.051522,-118.129807
"Oceanside, CA, US",33.1958696,-117.379483
"Del Mar, CA, US",32.9594891,-117.2653146
"Idaho, US",43.6447642,-114.015407
"Manhattan Beach, CA, US",33.8897798,-118.3935254
"Branford, CT, US",41.2795414,-72.8150989
"Woodland Hills, CA, US",34.1684364,-118.6058382
"West Hollywood, CA, US",34.0923014,-118.3692894
"Vienna, SD, US",44.7030219,-97.5014704
"Holladay, UT, US",40.6710765,-111.8250278
"Wellington, UT, US",39.5424659,-110.735434
"Erie, PA, US",42.1294712,-80.0852695
"Rocky Hill, CT, US",41.6648216,-72.6392587
"Altoona, PA, US",40.518681,-78.394736
"Norfolk, VA, US",36.8493695,-76.2899539
"Phoenixville, PA, US",40.1303822,-75.5149128
"Norristown, PA, US",40.1148787,-75.3433705
"Weymouth, MA, US",42.2212188,-70.9391625
"Stuart, FL, US",27.197983,-80.2519175
